j,PV (kW),ST (m2),IRR (%),NPV (£ 000s),IE (kWh),PV (kWh),GE (kWh),ARC (£),CC (£),CO2e Emissions (kg),ST Waste (kWh)
0,0,0,0,0,11524.70293,0,0,2967.611005,0,2650.681674,0
1,0,62,36.87,9.418,7625.48643,0,0,1963.562756,3720,1753.861879,7562.318547
2,1.26,62,33.92,11.45,6883.784441,1197.825577,3.867578245,1772.381115,5106,1478.714367,7562.318547
3,2.52,54.25,32.2,13.61,6145.957411,2395.651154,170.26238,1574.070914,6569.5,1214.358677,7416.000913
4,3.78,46.5,31.99,15.468,5409.999565,3593.476732,550.7729377,1365.536241,7413,1076.763178,7178.5357
5,5.04,38.75,28.66,16.062,4952.011459,4791.302309,1025.057007,1223.8901,8644,998.5465693,6793.581958
6,6.3,31,27.23,16.577,4636.820385,5989.127886,1540.056528,1116.978423,9410,941.3111151,6173.215633
7,7.56,23.25,25.43,16.626,4425.467167,7186.953463,2078.506432,1035.632474,10176,917.916615,5176.490383
8,8.82,15.5,23.06,16.246,4289.946717,8384.77904,2547.11915,977.3053221,11252,886.3720655,3594.224244
9,10.08,7.75,25.79,17.276,4302.638584,9582.604618,2898.98698,962.9800864,10477,889.6544937,1225.729467
10,11.34,0,22.61,15.751,4642.291342,10780.43019,2515.715401,1069.60425,11340,911.3943384,0
