# Renewables.ninja Solar PV (Point API) - 51.379, -2.359 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "51.37879861436647", "lon": "-2.358966151271851", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "100", "system_loss": "0.15", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 00:00,0,0,0,8.038,0
2015-01-01 01:00,2015-01-01 01:00,0,0,0,8.070,0
2015-01-01 02:00,2015-01-01 02:00,0,0,0,8.258,0
2015-01-01 03:00,2015-01-01 03:00,0,0,0,8.791,0
2015-01-01 04:00,2015-01-01 04:00,0,0,0,9.293,0
2015-01-01 05:00,2015-01-01 05:00,0,0,0,9.567,0
2015-01-01 06:00,2015-01-01 06:00,0,0,0,9.510,0
2015-01-01 07:00,2015-01-01 07:00,0,0,0,9.849,0
2015-01-01 08:00,2015-01-01 08:00,0,0,0.001,10.202,0
2015-01-01 09:00,2015-01-01 09:00,0.309,0,0.012,10.523,0
2015-01-01 10:00,2015-01-01 10:00,1.319,0,0.028,10.863,0
2015-01-01 11:00,2015-01-01 11:00,1.619,0,0.032,11.165,0
2015-01-01 12:00,2015-01-01 12:00,4.391,0.003,0.064,11.370,0
2015-01-01 13:00,2015-01-01 13:00,2.322,0,0.041,11.588,0
2015-01-01 14:00,2015-01-01 14:00,2.160,0,0.039,11.778,0
2015-01-01 15:00,2015-01-01 15:00,0.145,0,0.009,11.722,0
2015-01-01 16:00,2015-01-01 16:00,0,0,0.001,11.658,0
2015-01-01 17:00,2015-01-01 17:00,0,0,0,11.725,0
2015-01-01 18:00,2015-01-01 18:00,0,0,0,11.873,0
2015-01-01 19:00,2015-01-01 19:00,0,0,0,12.036,0
2015-01-01 20:00,2015-01-01 20:00,0,0,0,12.142,0
2015-01-01 21:00,2015-01-01 21:00,0,0,0,12.339,0
2015-01-01 22:00,2015-01-01 22:00,0,0,0,12.604,0
2015-01-01 23:00,2015-01-01 23:00,0,0,0,12.813,0
2015-01-02 00:00,2015-01-02 00:00,0,0,0,12.912,0
2015-01-02 01:00,2015-01-02 01:00,0,0,0,12.642,0
2015-01-02 02:00,2015-01-02 02:00,0,0,0,11.357,0
2015-01-02 03:00,2015-01-02 03:00,0,0,0,9.702,0
2015-01-02 04:00,2015-01-02 04:00,0,0,0,8.710,0
2015-01-02 05:00,2015-01-02 05:00,0,0,0,7.918,0
2015-01-02 06:00,2015-01-02 06:00,0,0,0,7.264,0
2015-01-02 07:00,2015-01-02 07:00,0,0,0,6.827,0
2015-01-02 08:00,2015-01-02 08:00,0.427,0.011,0.003,6.359,0
2015-01-02 09:00,2015-01-02 09:00,13.249,0.132,0.032,6.616,0
2015-01-02 10:00,2015-01-02 10:00,32.902,0.328,0.058,7.519,0
